Country,GDP per capita (USD),Life satisfaction
Afghanistan,2033.8044,1.859
Albania,13317.093,4.7186
Argentina,22747.242,6.0863
Austria,55258.37,7.246
Bahrain,46389.266,6.1994
Bangladesh,4440.856,4.4558
Belarus,18974.7,5.3225
Benin,3160.7808,4.8832
Bhutan,11348.442,5.0821
Bolivia,8655.531,5.7793
Bosnia and Herzegovina,14386.737,5.3865
Canada,48962.48,7.2781
Cayman Islands,71784.05,7.2781
Central African Republic,933.1099,3.083
Chad,1576.3212,4.3495
Chile,25028.91,6.444
Colombia,14314.855,6.1248
Congo,3928.428,4.8115
Dominica,11527.571,5.4253
Eswatini,8520.585,4.2116
France,45284.004,6.5921
Gambia,2158.0776,4.5163
Germany,53486.84,6.985
Ghana,5315.254,4.9963
Honduras,5680.363,5.8604
Iceland,56818.195,7.4936
Iran,13471.86,4.548
Italy,42045.92,6.2234
Jamaica,9734.862,5.8898
Latin America and Caribbean,16055.861,5.03
Liberia,1543.9691,3.9753
Lithuania,35446.707,6.149
Madagascar,1591.9666,3.9327
Malawi,1496.7322,3.4098
Malta,43313.508,6.7256
Mauritania,5193.3936,4.4903
Mexico,19928.396,6.5945
Middle East and North Africa,16164.662,5.5285
Mongolia,12028.636,5.2854
Zimbabwe,3923.0305,3.6632
